filingtype,page,link,cmte,office,period,year,draft
campaign,5,/scan_image/EFS_PDFFiles_prod/CAN_04_166_1672_O_0_1.pdf,Committee to Elect Kwame R Brown,"Brown, Kwame",June 10th Report,2004,Original
campaign,5,/scan_image/EFS_PDFFiles_prod/CAN_04_173_1672_O_0_1.pdf,Committee to Elect Kwame R Brown,"Brown, Kwame",October 10th Report,2004,Original
campaign,5,/scan_image/EFS_PDFFiles_prod/CAN_04_160_1672_O_0_1.pdf,Committee to Elect Kwame R Brown,"Brown, Kwame",January 31st Report,2004,Original
campaign,6,/scan_image/EFS_PDFFiles_prod/CAN_04_175_1672_O_0_1.pdf,Committee to Elect Kwame R Brown,"Brown, Kwame",December 10th Report,2004,Original
campaign,6,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2436_O_0_1.pdf,Committee To Elect Marilyn Tyler Brown,"Brown, Marilyn",October 10th Report,2004,Original
campaign,6,/scan_image/EFS_PDFFiles_prod/CAN_04_175_2436_O_0_1.pdf,Committee To Elect Marilyn Tyler Brown,"Brown, Marilyn",December 10th Report,2004,Original
campaign,6,/scan_image/EFS_PDFFiles_prod/CAN_04_177_26_O_0_1.pdf,Committee to Re-Elect Ray Browne,"Browne, Ray",8 Day Pre Primary Election report,2004,Original
campaign,6,/scan_image/EFS_PDFFiles_prod/CAN_04_179_26_O_0_1.pdf,Committee to Re-Elect Ray Browne,"Browne, Ray",8 Day Pre General Election Report,2004,Original
campaign,6,/scan_image/EFS_PDFFiles_prod/CAN_04_175_26_O_0_1.pdf,Committee to Re-Elect Ray Browne,"Browne, Ray",December 10th Report,2004,Original
campaign,6,/scan_image/EFS_PDFFiles_prod/CAN_04_170_26_O_0_1.pdf,Committee to Re-Elect Ray Browne,"Browne, Ray",August 10th Report,2004,Original
campaign,6,/scan_image/EFS_PDFFiles_prod/CAN_04_164_2017_O_0_1.pdf,Committee to Re-Elect Ray Browne,"Browne, Ray",March 10th Report,2004,Original
campaign,6,/scan_image/EFS_PDFFiles_prod/CAN_04_166_2017_O_0_1.pdf,Committee to Re-Elect Ray Browne,"Browne, Ray",June 10th Report,2004,Original
campaign,6,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2017_O_0_1.pdf,Committee to Re-Elect Ray Browne,"Browne, Ray",October 10th Report,2004,Original
campaign,7,/scan_image/EFS_PDFFiles_prod/CAN_04_160_21_O_0_1.pdf,Catania 2002,"Catania, David",January 31st Report,2004,Original
campaign,7,/scan_image/EFS_PDFFiles_prod/CAN_04_182_21_O_0_1.pdf,Catania 2002,"Catania, David",Termination Report,2004,Original
campaign,7,/scan_image/EFS_PDFFiles_prod/CAN_04_177_1615_O_0_1.pdf,Committee to Re-Elect Kevin P. Chavous,"Chavous, Kevin",8 Day Pre Primary Election report,2004,Original
campaign,7,/scan_image/EFS_PDFFiles_prod/CAN_04_170_1615_O_0_1.pdf,Committee to Re-Elect Kevin P. Chavous,"Chavous, Kevin",August 10th Report,2004,Original
campaign,7,/scan_image/EFS_PDFFiles_prod/CAN_04_164_1615_O_0_1.pdf,Committee to Re-Elect Kevin P. Chavous,"Chavous, Kevin",March 10th Report,2004,Original
campaign,7,/scan_image/EFS_PDFFiles_prod/CAN_04_173_1615_O_0_1.pdf,Committee to Re-Elect Kevin P. Chavous,"Chavous, Kevin",October 10th Report,2004,Original
campaign,7,/scan_image/EFS_PDFFiles_prod/CAN_04_175_1615_O_0_1.pdf,Committee to Re-Elect Kevin P. Chavous,"Chavous, Kevin",December 10th Report,2004,Original
campaign,7,/scan_image/EFS_PDFFiles_prod/CAN_04_160_1615_O_0_1.pdf,Committee to Re-Elect Kevin P. Chavous,"Chavous, Kevin",January 31st Report,2004,Original
campaign,7,/scan_image/EFS_PDFFiles_prod/CAN_04_166_1615_O_0_1.pdf,Committee to Re-Elect Kevin P. Chavous,"Chavous, Kevin",June 10th Report,2004,Original
campaign,7,/scan_image/EFS_PDFFiles_prod/CAN_04_168_29_O_0_1.pdf,Ward-6 Citizens for Croft,"Croft, Howard",July 31st Report,2004,Original
campaign,8,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2405_A_1_1.pdf,Committee to Elect Tom Dawson,"Dawson, Thomas",August 10th Report,2004,Amendment 1
campaign,8,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2405_A_1_1.pdf,Committee to Elect Tom Dawson,"Dawson, Thomas",October 10th Report,2004,Amendment 1
campaign,8,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2405_O_0_1.pdf,Committee to Elect Tom Dawson,"Dawson, Thomas",August 10th Report,2004,Original
campaign,8,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2405_O_0_1.pdf,Committee to Elect Tom Dawson,"Dawson, Thomas",8 Day Pre General Election Report,2004,Original
campaign,8,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2405_O_0_1.pdf,Committee to Elect Tom Dawson,"Dawson, Thomas",October 10th Report,2004,Original
campaign,8,/scan_image/EFS_PDFFiles_prod/CAN_04_177_2308_O_0_1.pdf,Adam for Shadow Campaign,"Eidinger, Adam",8 Day Pre Primary Election report,2004,Original
campaign,8,/scan_image/EFS_PDFFiles_prod/CAN_04_166_2308_O_0_1.pdf,Adam for Shadow Campaign,"Eidinger, Adam",June 10th Report,2004,Original
campaign,8,/scan_image/EFS_PDFFiles_prod/CAN_04_170_49_O_0_1.pdf,Adam for Shadow Represent,"Eidinger, Adam",August 10th Report,2004,Original
campaign,8,/scan_image/EFS_PDFFiles_prod/CAN_04_173_49_O_0_1.pdf,Adam for Shadow Represent,"Eidinger, Adam",October 10th Report,2004,Original
campaign,8,/scan_image/EFS_PDFFiles_prod/CAN_04_168_49_O_0_1.pdf,Adam for Shadow Represent,"Eidinger, Adam",July 31st Report,2004,Original
campaign,9,/scan_image/EFS_PDFFiles_prod/CAN_04_166_1685_O_0_1.pdf,Evans 2004,"Evans, Jack",June 10th Report,2004,Original
campaign,9,/scan_image/EFS_PDFFiles_prod/CAN_04_177_1685_O_0_1.pdf,Evans 2004,"Evans, Jack",8 Day Pre Primary Election report,2004,Original
campaign,9,/scan_image/EFS_PDFFiles_prod/CAN_04_179_1685_O_0_1.pdf,Evans 2004,"Evans, Jack",8 Day Pre General Election Report,2004,Original
campaign,9,/scan_image/EFS_PDFFiles_prod/CAN_04_173_1685_O_0_1.pdf,Evans 2004,"Evans, Jack",October 10th Report,2004,Original
campaign,9,/scan_image/EFS_PDFFiles_prod/CAN_04_170_1685_O_0_1.pdf,Evans 2004,"Evans, Jack",August 10th Report,2004,Original
campaign,9,/scan_image/EFS_PDFFiles_prod/CAN_04_160_1685_O_0_1.pdf,Evans 2004,"Evans, Jack",January 31st Report,2004,Original
campaign,9,/scan_image/EFS_PDFFiles_prod/CAN_04_170_1450_A_1_1.pdf,Fenty 2004 Re-Election Committee,"Fenty, Adrian",August 10th Report,2004,Amendment 1
campaign,9,/scan_image/EFS_PDFFiles_prod/CAN_04_177_1450_O_0_1.pdf,Fenty 2004 Re-Election Committee,"Fenty, Adrian",8 Day Pre Primary Election report,2004,Original
campaign,9,/scan_image/EFS_PDFFiles_prod/CAN_04_170_1450_O_0_1.pdf,Fenty 2004 Re-Election Committee,"Fenty, Adrian",August 10th Report,2004,Original
campaign,9,/scan_image/EFS_PDFFiles_prod/CAN_04_175_1450_O_0_1.pdf,Fenty 2004 Re-Election Committee,"Fenty, Adrian",December 10th Report,2004,Original
campaign,10,/scan_image/EFS_PDFFiles_prod/CAN_04_164_1450_O_0_1.pdf,Fenty 2004 Re-Election Committee,"Fenty, Adrian",March 10th Report,2004,Original
campaign,10,/scan_image/EFS_PDFFiles_prod/CAN_04_246_1450_O_0_1.pdf,Fenty 2004 Re-Election Committee,"Fenty, Adrian",24 HOUR REPORT (Primary),2004,Original
campaign,10,/scan_image/EFS_PDFFiles_prod/CAN_04_166_1450_O_0_1.pdf,Fenty 2004 Re-Election Committee,"Fenty, Adrian",June 10th Report,2004,Original
campaign,10,/scan_image/EFS_PDFFiles_prod/CAN_04_179_1450_O_0_1.pdf,Fenty 2004 Re-Election Committee,"Fenty, Adrian",8 Day Pre General Election Report,2004,Original
campaign,10,/scan_image/EFS_PDFFiles_prod/CAN_04_173_1450_O_0_1.pdf,Fenty 2004 Re-Election Committee,"Fenty, Adrian",October 10th Report,2004,Original
campaign,10,/scan_image/EFS_PDFFiles_prod/CAN_04_160_1450_O_0_1.pdf,Fenty 2004 Re-Election Committee,"Fenty, Adrian",January 31st Report,2004,Original
campaign,10,/scan_image/EFS_PDFFiles_prod/CAN_04_175_1450_A_1_1.pdf,Fenty 2004 Re-Election Committee,"Fenty, Adrian",December 10th Report,2004,Amendment 1
campaign,10,/scan_image/EFS_PDFFiles_prod/CAN_04_175_2263_O_0_1.pdf,Committee to Elect Vincent Gray,"Gray, Vincent",December 10th Report,2004,Original
campaign,10,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2263_A_1_1.pdf,Committee to Elect Vincent Gray,"Gray, Vincent",August 10th Report,2004,Amendment 1
campaign,10,/scan_image/EFS_PDFFiles_prod/CAN_04_177_2263_O_0_1.pdf,Committee to Elect Vincent Gray,"Gray, Vincent",8 Day Pre Primary Election report,2004,Original
campaign,11,/scan_image/EFS_PDFFiles_prod/CAN_04_246_2263_O_0_1.pdf,Committee to Elect Vincent Gray,"Gray, Vincent",24 HOUR REPORT (Primary),2004,Original
campaign,11,/scan_image/EFS_PDFFiles_prod/CAN_04_166_2263_O_0_1.pdf,Committee to Elect Vincent Gray,"Gray, Vincent",June 10th Report,2004,Original
campaign,11,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2263_O_0_1.pdf,Committee to Elect Vincent Gray,"Gray, Vincent",8 Day Pre General Election Report,2004,Original
campaign,11,/scan_image/EFS_PDFFiles_prod/CAN_04_177_2263_A_1_1.pdf,Committee to Elect Vincent Gray,"Gray, Vincent",8 Day Pre Primary Election report,2004,Amendment 1
campaign,11,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2263_A_1_1.pdf,Committee to Elect Vincent Gray,"Gray, Vincent",October 10th Report,2004,Amendment 1
campaign,11,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2263_O_0_1.pdf,Committee to Elect Vincent Gray,"Gray, Vincent",August 10th Report,2004,Original
campaign,11,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2263_O_0_1.pdf,Committee to Elect Vincent Gray,"Gray, Vincent",October 10th Report,2004,Original
campaign,11,/scan_image/EFS_PDFFiles_prod/CAN_04_175_2263_A_1_1.pdf,Committee to Elect Vincent Gray,"Gray, Vincent",December 10th Report,2004,Amendment 1
campaign,11,/scan_image/EFS_PDFFiles_prod/CAN_04_166_2305_O_0_1.pdf,Committee to Elect Arturo Griffiths,"Griffiths, Arturo",June 10th Report,2004,Original
campaign,11,/scan_image/EFS_PDFFiles_prod/CAN_04_182_2305_O_0_1.pdf,Committee to Elect Arturo Griffiths,"Griffiths, Arturo",Termination Report,2004,Original
campaign,12,/scan_image/EFS_PDFFiles_prod/CAN_04_166_2305_A_1_1.pdf,Committee to Elect Arturo Griffiths,"Griffiths, Arturo",June 10th Report,2004,Amendment 1
campaign,12,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2269_A_1_1.pdf,The People's Campaign,"Jackson, Mary",October 10th Report,2004,Amendment 1
campaign,12,/scan_image/EFS_PDFFiles_prod/CAN_04_166_2269_O_0_1.pdf,The People's Campaign,"Jackson, Mary",June 10th Report,2004,Original
campaign,12,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2269_O_0_1.pdf,The People's Campaign,"Jackson, Mary",August 10th Report,2004,Original
campaign,12,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2428_A_1_2.pdf,Keller for Kids Committee,"Keller, Keenan",8 Day Pre General Election Report,2004,Amendment 1
campaign,12,/scan_image/EFS_PDFFiles_prod/CAN_04_175_2428_A_1_3.pdf,Keller for Kids Committee,"Keller, Keenan",December 10th Report,2004,Amendment 1
campaign,12,/scan_image/EFS_PDFFiles_prod/CAN_04_175_2428_O_0_1.pdf,Keller for Kids Committee,"Keller, Keenan",December 10th Report,2004,Original
campaign,12,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2428_O_0_1.pdf,Keller for Kids Committee,"Keller, Keenan",August 10th Report,2004,Original
campaign,12,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2428_O_0_1.pdf,Keller for Kids Committee,"Keller, Keenan",8 Day Pre General Election Report,2004,Original
campaign,12,/scan_image/EFS_PDFFiles_prod/CAN_04_247_2428_O_0_1.pdf,Keller for Kids Committee,"Keller, Keenan",24 Hour Report (General),2004,Original
campaign,13,/scan_image/EFS_PDFFiles_prod/CAN_04_168_24_O_0_1.pdf,Kinch for Mayor,"Kinch, Tricia",July 31st Report,2004,Original
campaign,13,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2282_O_0_1.pdf,Comm. to Elect Lockridge 2004,"Lockridge, William",August 10th Report,2004,Original
campaign,13,/scan_image/EFS_PDFFiles_prod/CAN_04_177_2282_O_0_1.pdf,Comm. to Elect Lockridge 2004,"Lockridge, William",8 Day Pre Primary Election report,2004,Original
campaign,13,/scan_image/EFS_PDFFiles_prod/CAN_04_175_2412_O_0_1.pdf,Marx for D.C. - Ward 2 Council,"Marx, Jay",December 10th Report,2004,Original
campaign,13,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2412_O_0_1.pdf,Marx for D.C. - Ward 2 Council,"Marx, Jay",8 Day Pre General Election Report,2004,Original
campaign,13,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2412_O_0_1.pdf,Marx for D.C. - Ward 2 Council,"Marx, Jay",October 10th Report,2004,Original
campaign,13,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2412_O_0_1.pdf,Marx for D.C. - Ward 2 Council,"Marx, Jay",August 10th Report,2004,Original
campaign,13,/scan_image/EFS_PDFFiles_prod/CAN_04_177_2412_O_0_1.pdf,Marx for D.C. - Ward 2 Council,"Marx, Jay",8 Day Pre Primary Election report,2004,Original
campaign,13,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2412_A_1_1.pdf,Marx for D.C. - Ward 2 Council,"Marx, Jay",8 Day Pre General Election Report,2004,Amendment 1
campaign,13,/scan_image/EFS_PDFFiles_prod/CAN_04_175_2525_O_0_1.pdf,Committee to Elect Laura McGiffert Slover,"McGiffert Slover, Laura",December 10th Report,2004,Original
campaign,14,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2525_O_0_1.pdf,Committee to Elect Laura McGiffert Slover,"McGiffert Slover, Laura",8 Day Pre General Election Report,2004,Original
campaign,14,/scan_image/EFS_PDFFiles_prod/CAN_04_168_23_O_0_1.pdf,"Committee To Re-Elect Vincent Orange, Orange 2002","Orange, Vincent",July 31st Report,2004,Original
campaign,14,/scan_image/EFS_PDFFiles_prod/CAN_04_160_23_O_0_1.pdf,"Committee To Re-Elect Vincent Orange, Orange 2002","Orange, Vincent",January 31st Report,2004,Original
campaign,14,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2285_O_0_1.pdf,"Committee to Elect Jacque Patterson, Ward 8 Council","Patterson, Jacque",October 10th Report,2004,Original
campaign,14,/scan_image/EFS_PDFFiles_prod/CAN_04_166_2285_O_0_1.pdf,"Committee to Elect Jacque Patterson, Ward 8 Council","Patterson, Jacque",June 10th Report,2004,Original
campaign,14,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2285_O_0_1.pdf,"Committee to Elect Jacque Patterson, Ward 8 Council","Patterson, Jacque",August 10th Report,2004,Original
campaign,14,/scan_image/EFS_PDFFiles_prod/CAN_04_182_2368_O_0_1.pdf,The Keith Andrew Perry Committee,"Perry, Keith",Termination Report,2004,Original
campaign,14,/scan_image/EFS_PDFFiles_prod/CAN_04_177_2288_O_0_1.pdf,Elect Pittman Campaign 2004,"Pittman, Robert",8 Day Pre Primary Election report,2004,Original
campaign,14,/scan_image/EFS_PDFFiles_prod/CAN_04_166_2288_O_0_1.pdf,Elect Pittman Campaign 2004,"Pittman, Robert",June 10th Report,2004,Original
campaign,14,/scan_image/EFS_PDFFiles_prod/CAN_04_177_2288_A_1_1.pdf,Elect Pittman Campaign 2004,"Pittman, Robert",8 Day Pre Primary Election report,2004,Amendment 1
campaign,15,/scan_image/EFS_PDFFiles_prod/CAN_04_182_2288_O_0_1.pdf,Elect Pittman Campaign 2004,"Pittman, Robert",Termination Report,2004,Original
campaign,15,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2288_O_0_1.pdf,Elect Pittman Campaign 2004,"Pittman, Robert",August 10th Report,2004,Original
campaign,15,/scan_image/EFS_PDFFiles_prod/CAN_04_166_2332_O_0_1.pdf,Committee to Elect Carlton Pressley,"Pressley, Carlton",June 10th Report,2004,Original
campaign,15,/scan_image/EFS_PDFFiles_prod/CAN_04_175_2427_O_0_1.pdf,Mai for DC School Board,"Rahman, Mai Abdul",December 10th Report,2004,Original
campaign,15,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2427_O_0_1.pdf,Mai for DC School Board,"Rahman, Mai Abdul",August 10th Report,2004,Original
campaign,15,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2427_O_0_1.pdf,Mai for DC School Board,"Rahman, Mai Abdul",October 10th Report,2004,Original
campaign,15,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2427_O_0_1.pdf,Mai for DC School Board,"Rahman, Mai Abdul",8 Day Pre General Election Report,2004,Original
campaign,15,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2530_O_0_1.pdf,Committee to Elect Victor Reinoso,"Reinoso, Victor",8 Day Pre General Election Report,2004,Original
campaign,15,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2530_O_0_1.pdf,Committee to Elect Victor Reinoso,"Reinoso, Victor",August 10th Report,2004,Original
campaign,15,/scan_image/EFS_PDFFiles_prod/CAN_04_175_2426_O_0_1.pdf,Committee to Elect Laurent Ross,"Ross, Laurent",December 10th Report,2004,Original
campaign,16,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2426_O_0_1.pdf,Committee to Elect Laurent Ross,"Ross, Laurent",October 10th Report,2004,Original
campaign,16,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2426_O_0_1.pdf,Committee to Elect Laurent Ross,"Ross, Laurent",8 Day Pre General Election Report,2004,Original
